Date,AMZN,GE,GOOGL,HSY,MMM,MSFT,SHY
2012-01-01,9.130499839782717,69.24028015136719,16.208011627197266,44.83750915527344,46.04012680053711,22.132902145385746,71.18694305419922
2012-01-08,8.920999526977539,69.94570922851562,15.58389663696289,45.42115020751953,46.167137145996094,22.24312973022461,71.24590301513672
2012-01-15,9.546500205993652,71.0965805053711,14.611446380615234,45.46548843383789,47.29923248291016,23.39269256591797,71.22907257080078
2012-01-22,9.768500328063965,70.65106964111328,14.461589813232422,45.24384689331055,48.29878616333008,23.01475524902344,71.30488586425781
2012-01-29,9.383999824523926,70.61394500732422,14.869270324707031,45.18473434448242,48.44789505004883,23.80999755859375,71.23754119873047
2012-02-05,9.277000427246094,70.09417724609375,15.108144760131836,43.99527740478516,48.12208557128906,24.014711380004883,71.2130355834961
2012-02-12,9.125,71.57923126220703,15.07647705078125,44.96310806274414,48.35400772094727,24.605239868164062,71.15400695800781
2012-02-19,8.956500053405762,71.43074798583984,15.207633972167969,45.147796630859375,49.03623962402344,24.94951438903809,71.14559173583984
2012-02-26,8.96500015258789,71.0512466430664,15.490641593933104,45.59587478637695,48.65817642211914,25.42504119873047,71.15400695800781
2012-03-04,9.215999603271484,71.31342315673828,14.96701431274414,44.22792434692383,48.25787734985352,25.353710174560547,71.14134216308594
2012-03-11,9.2524995803833,75.65817260742188,15.585144996643066,44.71117401123047,49.79235458374024,25.83716583251953,71.09077453613281
2012-03-18,9.751999855041504,74.0850601196289,16.022748947143555,44.99368667602539,49.180809020996094,25.369558334350582,71.08232116699219
2012-03-25,10.125499725341797,75.17127227783203,15.98908519744873,45.59587478637695,49.59777069091797,25.56769180297852,71.12450408935547
2012-04-01,9.719499588012695,72.9989013671875,15.766668319702148,45.09775161743164,48.51918411254883,24.98120880126953,71.10763549804688
2012-04-08,9.42300033569336,70.71416473388672,15.574173927307127,45.86351013183594,47.6407585144043,24.418500900268555,71.22573852539062
2012-04-15,9.49899959564209,72.51197052001953,14.86253833770752,46.94895553588867,48.63594436645508,25.69450187683105,71.25104522705078
2012-04-22,11.342499732971191,74.0850601196289,15.334301948547363,49.62538909912109,49.68116760253906,25.345781326293945,71.25104522705078
2012-04-29,11.19950008392334,72.43709564208984,14.885229110717772,49.72946166992188,49.29754638671875,24.55323028564453,71.26792907714844
2012-05-06,11.383999824523926,71.20108032226562,15.09118938446045,50.89668655395508,48.21896743774414,24.69588851928711,71.29155731201172
2012-05-13,10.692500114440918,70.97637939453125,14.970755577087402,50.1160774230957,46.428749084472656,23.19796562194824,71.24090576171875
2012-05-20,10.64449977874756,71.91270446777344,14.749584197998049,50.34651565551758,47.46126937866211,23.18266487121582,71.2662582397461
2012-05-27,10.41100025177002,69.44071960449219,14.237177848815918,49.26920318603516,46.38084030151367,22.696029663085938,71.29155731201172
2012-06-03,10.923999786376951,71.91270446777344,14.473309516906738,50.51771545410156,48.14426803588867,23.6533317565918,71.28988647460938
2012-06-10,10.917499542236328,74.90906524658203,14.075851440429688,51.95320892333984,48.95040512084961,23.94850349426269,71.2814712524414
2012-06-17,11.107999801635742,74.40496063232422,14.249645233154297,51.96065902709961,48.60891342163086,24.4909725189209,71.24767303466797
2012-06-24,11.417499542236328,78.94120025634766,14.463833808898926,53.85219192504883,50.15961456298828,24.40321922302246,71.23921203613281
2012-07-01,11.2524995803833,75.75935363769531,14.611197471618652,54.00917434692383,49.81810760498047,24.08412170410156,71.27298736572266
2012-07-08,10.919500350952148,74.88810729980469,14.37531566619873,54.23347091674805,49.03436279296875,23.4459171295166,71.33717346191406
2012-07-15,11.41450023651123,75.26686096191406,15.230573654174805,53.27650451660156,50.3779411315918,24.028276443481445,71.39631652832031
2012-07-22,11.866000175476074,79.24427032470703,15.83249568939209,53.95685195922852,51.34081268310547,23.741085052490234,71.34563446044922
2012-07-29,11.748499870300291,79.3957748413086,15.991329193115234,53.95685195922852,51.335208892822266,23.73310661315918,71.34563446044922
2012-08-05,11.637499809265137,79.92607879638672,16.00803565979004,54.00171661376953,51.66550064086914,24.267602920532227,71.33375549316406
2012-08-12,12.058500289916992,79.54728698730469,16.88423728942871,53.76993942260742,52.75714492797852,24.6505184173584,71.29998016357422
2012-08-19,12.286999702453612,78.78970336914062,16.9213924407959,54.28581619262695,51.96781539916992,24.54078865051269,71.3506851196289
2012-08-26,12.41349983215332,78.44881439208984,17.082469940185547,53.97822570800781,52.16927719116211,24.749574661254883,71.4013442993164
2012-09-02,12.95699977874756,81.78221130371094,17.60759162902832,54.35401916503906,52.29320907592773,24.85398292541504,71.35911560058594
2012-09-09,13.06350040435791,83.751953125,17.69561195373535,52.678001403808594,52.94674682617188,25.062767028808597,71.36250305175781
2012-09-16,12.873499870300291,85.3428726196289,18.30177116394043,53.87299346923828,52.51293182373047,25.04670143127441,71.36250305175781
2012-09-23,12.715999603271484,86.68168640136719,18.813182830810547,53.279258728027344,52.06784439086914,23.898365020751957,71.4132080078125
2012-09-30,12.92549991607666,88.24665832519531,19.14107131958008,53.73017120361328,53.49885177612305,23.97063636779785,71.34558868408203
2012-10-07,12.118000030517578,85.80378723144531,18.570068359375,52.25711441040039,52.25375747680664,23.44866371154785,71.38111114501953
2012-10-14,12.0,84.0862045288086,17.00018310546875,52.858360290527344,52.36081314086914,22.998966217041016,71.33033752441406
2012-10-21,11.911999702453612,80.57469177246094,16.834617614746094,52.1068000793457,49.59460067749024,22.653657913208008,71.32191467285156
2012-10-28,11.621000289916992,81.33802795410156,17.153034210205078,52.22706604003906,50.12420654296875,23.6895751953125,71.33882141113281
