Date,equal_weight,sample+min_variance,sample+convex,sample+gp_bayesopt,ledoit_wolf+min_variance,ledoit_wolf+convex,ledoit_wolf+gp_bayesopt,bayes_stein+min_variance,bayes_stein+convex,bayes_stein+gp_bayesopt,niw_predictive+min_variance,niw_predictive+convex,niw_predictive+gp_bayesopt,black_litterman+min_variance,black_litterman+convex,black_litterman+gp_bayesopt
2015-01-04,0.9999999999999998,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0000000000000002,1.0000000000000004,1.0
2015-04-05,0.05813461188477387,0.08966248711091376,0.15093850033489398,0.19240936261030628,0.07861709641910072,0.14979548878546975,0.44692655439857176,0.0896637194298981,0.14916036729179022,0.27745947218757555,0.0889483247550349,0.15091413480302074,0.2143309544478723,0.07844604288839246,0.9571767649375771,0.7938337379415908
2015-07-05,0.07326547039773758,0.13265482241013177,0.3134918472529725,0.41570639195085907,0.09882696928832696,0.29284314835192105,0.5261195868811592,0.13264208320144225,0.28485060508131355,0.3149900390779864,0.1304922162782607,0.3094868284479479,0.40403119236388496,0.09870456218316037,0.8461176069475176,1.0496958531310354
2015-10-04,0.08221053605691583,0.07413090160086325,0.35728210606565114,0.8280712552252352,0.07698918776365907,0.2890909438700494,0.07925197916774113,0.07413569483832763,0.3288940962344026,0.14487059292685747,0.07458192520526949,0.35077825907362065,1.0384627470890564,0.07700627983724788,0.4057273010513076,0.8473334842912361
2016-01-03,0.0978501394114698,0.09329830356405636,0.21353374523719987,0.6950691977187525,0.09074368158060597,0.25271034129666337,0.3008998323398211,0.09116533178561981,0.21048846102815372,0.6074446923015167,0.09195674925462516,0.21486401629571145,0.3531167583744614,0.09367930204986497,0.3217477894683935,0.7380672537874713
2016-04-03,0.04689235355943154,0.06734448741985127,0.18642847648312946,0.49861319216003464,0.06821597690448111,0.18170583604897556,0.21932902145000252,0.06329684548611501,0.22360800510259407,0.2663508396732834,0.06648822644708949,0.19410228387172224,0.4852912452439632,0.06482699893656868,0.7617819546927017,0.3791017202534014
2016-07-03,0.09093195008457547,0.22421335783296664,0.24769301360624907,0.3571341242788685,0.1821126987570738,0.26018269831464974,0.4323204506362836,0.22421335780052304,0.2309369668699622,0.3624902353255704,0.22088760077737138,0.24744327196065768,0.2221029411469581,0.17648905819961141,1.1946719343703731,1.2663486195653388
2016-10-02,0.08802490703222095,0.03503767207164205,0.1874414686134746,0.7939827435764563,0.029933767356597814,0.22563084768830916,0.5974365970371829,0.035029621852343436,0.1724102377779081,0.4262371405633286,0.035613189198337274,0.18641543648051917,0.3563621368560242,0.033048215759045374,1.0295869450077113,1.0471179070030623
2017-01-01,0.05235644623997662,0.16514400816514385,0.2461034025230034,0.6509016515656512,0.1240504089587223,0.22124417134520707,0.0844505494166962,0.16508089314879149,0.24686461720638864,0.2959396632578138,0.16248048623412378,0.24357871683095783,0.3376408985898428,0.11851743605050738,0.626551919630012,1.085649838460406
2017-04-02,0.04452911397594672,0.06492792226135058,0.37960170922769243,0.5411771903149096,0.058626353853647825,0.30595340504127105,0.5287758267592598,0.065060379984395,0.3521946623984112,0.5900265543861296,0.06419779569550008,0.3747310090064513,0.5061687866048127,0.053133591046189824,0.34103470737445146,0.9973631349598073
2017-07-02,0.054890740116113196,0.10004287620804476,0.13072388907521637,0.20058565029732808,0.08720977418949327,0.10236301432194003,0.20411340679359186,0.10004290429400138,0.13604568022651578,0.0455990542420286,0.09943592848114478,0.13147393680625202,0.1700597545983129,0.08717599259124695,0.5926963599301895,1.1988421185426366
2017-10-01,0.03698232230970233,0.05850881261294859,0.047607403190456365,0.20090809144138705,0.04417876204934816,0.07004533055954892,0.10143215610156163,0.05851394855833954,0.04638671870599358,0.04727697938644541,0.05722256525869096,0.050180904074723615,0.15693017878430138,0.04731082885518292,0.5505064715559764,1.2251226398836779
2017-12-31,0.10429544746984797,0.08335630801742366,0.1691860768608756,0.1841467791445497,0.06641469665465043,0.17779237340869847,0.09253213330321203,0.0833904912316691,0.16361452577444652,0.2004427589416477,0.08180789632360046,0.1698224759806906,0.10171078536461428,0.06451449043878925,0.38579492323769005,1.1526952954257716
2018-04-01,0.10274501670338244,0.20232199165583328,0.44725429569151215,0.7155087636503408,0.21936635475204364,0.41007983015907673,0.7126026921864719,0.20231856786119554,0.43674354248896735,0.6131695905547458,0.20637797984595063,0.44207849577371505,0.714427889342893,0.21992686042254153,0.40660089039806835,0.6660808787742862
2018-07-01,0.0706325258200507,0.09143045208898032,0.13211163938252685,0.05409281406437279,0.0811019834034055,0.1011107616706407,0.0540134572961719,0.09142799468260873,0.14593838049386762,0.2727939749590522,0.09044833486707174,0.13290944082169537,0.13808813908560252,0.08109122158626521,0.1353867859584799,0.07879811601476473
2018-09-30,0.07663075165909415,0.09194732028650547,0.21660652921265613,0.11127474770185414,0.1298070156115933,0.17171589649385993,0.06813952122878346,0.0919472872885593,0.21205539358818767,0.07023033424185646,0.09259377973010595,0.21299524088252467,0.12001180749291336,0.12980627933050654,0.8278903875338557,0.5324824504907624
2018-12-30,0.11486175907386224,0.26469113853489484,0.3370114277741845,0.20068763331767642,0.20922646384818816,0.3047230988404827,0.18251656834626856,0.26469113945574024,0.3410092780302044,0.3293499973331741,0.2580942886636908,0.3319431080001993,0.47948597870168996,0.20923779785179134,0.6295929232703503,1.4511892449459602
2019-03-31,0.07405742792084374,0.10413073684222773,0.22671352660547492,0.21912752115781506,0.0924720947538682,0.19373680026607515,0.2706029396060533,0.10417610188250417,0.22459836876988187,0.3936095867427715,0.10230415212731953,0.22279596387448908,0.37366423605331345,0.09246791222860574,0.4241499240666359,0.6416894173231179
2019-06-30,0.08661773378473647,0.1712619778708077,0.24455751822592278,0.04365426091896598,0.10220384816830827,0.21517737266010195,0.2604240861908686,0.17123544771824561,0.24198178860499614,0.32433042013256946,0.16520857532704597,0.24180064286277786,0.32704259258888313,0.09660668707051259,0.7388816595054484,1.1050258817512906
