,AMZN,GE,GOOGL,HSY,MMM,MSFT,SHY
2015-01-04,-7.020305624277983e-17,0.14196020320480562,-4.3775663646823586e-17,0.14062438277153091,0.35044529532284135,0.36697011870082236,-7.673510131121051e-17
2015-04-05,0.2804451586097322,0.12318433106547239,5.1752253276455514e-14,0.12395734682551222,0.2742699396401754,5.1752253276455514e-14,0.1981432238590043
2015-07-05,0.3153426118977568,0.2985141163449973,0.12659239161396513,6.894484982922222e-14,6.894484982922222e-14,0.12666329590091682,0.13288758424222605
2015-10-04,0.27116149167700404,0.1428566008181357,0.271161438711556,0.014552182476448086,0.0145504858727003,0.142856509240129,0.14286129120402682
2016-01-03,0.30133906215694767,0.12842321067786383,0.3005846817121829,0.13080269769958658,8.466243579212979e-14,0.1349890575883565,0.0038612901649777514
2016-04-03,0.1428570909713765,0.23203027115391553,0.14285711865364742,0.053683933255779706,0.14285714407990502,0.2320302774640253,0.053684164421350496
2016-07-03,0.06760350391956578,0.07108502585050298,4.624610882053878e-17,0.25844472287963516,0.2324869669921002,-3.706812210836327e-18,0.3703797803581958
2016-10-02,0.27546692386614546,0.010245717104294425,0.14285665248184598,0.14285700047827865,0.27546640274508627,0.14285619196808066,0.01025111135626845
2017-01-01,0.14285706797976372,0.1428567643442815,0.20177333169803174,0.08394068637081877,0.14285704190187976,0.20177369946797508,0.08394140823724934
2017-04-02,0.14285759862243533,0.057320968508626925,0.14285755439210976,0.22839419330762314,0.14285766408164438,0.2283942575730748,0.05731776351448568
2017-07-02,0.2922121149393022,3.759720234536174e-18,0.11643015946931151,0.11564923922763538,0.2644240948141202,0.11769466518277588,0.0935897263668548
2017-10-01,0.1428563729315784,0.07820885926208128,0.20750380241747907,0.1428562845406313,0.14285668193789186,0.20750381602246393,0.07821418288787403
2017-12-31,0.2879548641862531,2.0673588229060657e-17,0.1350995569165557,0.13517939193391945,0.13171280043510195,0.28668581011787403,0.02336757641029585
2018-04-01,0.3908362968885415,9.07210814407985e-15,0.10308099021662168,9.07210814407985e-15,0.04685335557769608,0.35541727635803844,0.10381208095908412
2018-07-01,0.39999999999999997,-3.568574007723717e-17,0.11949991393179604,-1.6565559479747443e-17,0.08207303059414307,0.3557776831638337,0.042649372310227265
2018-09-30,0.25942059779041504,1.5479681029059324e-14,0.07066834606465265,0.073505091441077,1.5479681029059324e-14,0.2186488504492645,0.3777571142545598
2018-12-30,2.9024401929486235e-15,2.9024401929486235e-15,2.9024401929486235e-15,0.4000000000000029,2.9024401929486235e-15,0.1999999999999826,0.4000000000000029
2019-03-31,8.06339122456328e-14,8.06339122456328e-14,0.08169182083457835,0.290111719265826,0.0906532734483765,0.2592520035546911,0.27829118289636684
2019-06-30,0.06781185016507678,0.27824695901602936,0.048047695469889865,0.07096045018494526,1.3354396953348312e-13,0.24779718600812561,0.2871358591557995
2019-09-29,0.06029837470397051,4.417101605115801e-14,0.018356903312989017,0.30013768414444536,4.417101605115801e-14,0.2212070378384626,0.4000000000000442
2019-12-29,3.965082230804131e-15,0.11918598400942694,0.34588771773861454,0.13663060430391813,0.10488916514947721,0.2934065287985552,3.965082230804131e-15
2020-03-29,0.3251949926496308,2.7741530577099117e-15,2.7745346798574537e-15,0.030829511338054227,2.606588098513833e-15,0.2439754960123043,0.4000000000000025
2020-06-28,0.40000000000000024,6.819941436983105e-16,6.819941436983105e-16,7.652608705451972e-16,9.56080452902646e-16,0.19999999999999593,0.4000000000000007
2020-09-27,0.30985316745550084,-9.653196159880693e-17,0.029666843524307172,0.045356001912844335,0.002009727947567797,0.255431325312052,0.3576829338477279
2020-12-27,0.12377850427357384,0.31322833622402696,0.30170994647167204,0.12703151707097887,0.13425169595965297,4.7612707427495996e-14,4.7612707427495996e-14
2021-03-28,3.822110978824356e-17,0.3630614993489355,0.3289098882343065,0.12853738496552508,0.12401551489520496,0.05547571255602796,4.3843973001489146e-17
2021-06-27,0.10058608917400264,0.18512750353491064,0.18512749081100682,0.1428568342778442,0.142856860254024,0.1428568497097833,0.10058837223842841
2021-09-26,0.11481553507465861,0.10019517509580914,0.30133385715530436,0.09879903219977952,9.373454393620965e-15,0.3044070400516092,0.0804493604228298
2021-12-26,0.14285741816420636,0.004317800726679429,0.2813963759907052,0.1428576869420702,0.004318218406558518,0.2813962562726104,0.1428562434971699
2022-03-27,0.1343415611412097,2.142730437526552e-14,0.12637171327121785,0.2707210118554275,2.142730437526552e-14,0.2720512800505249,0.1965144336815772
2022-06-26,4.0102778241037285e-12,4.0102778241037285e-12,4.0102778241037285e-12,0.4000000000000085,0.07230122199880815,0.127698777989144,0.4000000000000085
2022-09-25,4.786659957289886e-12,4.786659957289886e-12,4.786659957289886e-12,0.4000000000000573,0.07647241928845572,0.12352758069706973,0.4000000000000573
2022-12-25,-3.568574007723717e-17,0.39999999999999997,5.906505946852337e-17,0.39450653637121197,0.04032072484786912,-3.568574007723717e-17,0.16517273878091912
2023-03-26,3.965071340380523e-16,0.4,3.3371742869103826e-16,0.03010270984534681,2.203378335363139e-16,0.2048069356535877,0.36509035450106453
2023-06-25,0.39999999999999997,0.3444488106640557,0.11717251994481431,0.056880926484804376,-3.172065784643304e-17,0.066021954228454,0.015475788677871617
2023-09-24,0.3187204299961163,0.12091803658391742,0.31499575444895633,-1.0743090429339213e-17,-1.0146779234472186e-17,0.11421186520732218,0.13115391376368785
2023-12-24,0.31212752382185627,0.3090704473097738,0.13012450077456236,1.3830206821044808e-13,0.1243775580792027,0.12429997001432816,1.3830206821044808e-13
